Assay	CAS	Sample Name	ReplicateSet	Curve Class	CONC0	CONC1	CONC2	CONC3	CONC4	CONC5	CONC6	CONC7	CONC8	CONC9	CONC10	CONC11	CONC12	CONC13	CONC14	RESP0	RESP1	RESP2	RESP3	RESP4	RESP5	RESP6	RESP7	RESP8	RESP9	RESP10	RESP11	RESP12	RESP13	RESP14	mask0	mask1	mask2	mask3	mask4	mask5	mask6	mask7	mask8	mask9	mask10	mask11	mask12	mask13	mask14
tox21-ar-bla-agonist	90-05-1	2-Methoxyphenol	2	4	9.911e-10	2.2159999999e-9	4.956e-9	1.1079999999e-8	2.4779999999e-8	5.541e-8	1.239e-7	2.77e-7	6.195e-7	1.3849999999e-6	3.0969999999e-6	6.926e-6	1.549e-5	3.463e-5	7.743e-5	-9.10285859	-2.41774971	-0.51838932	-0.59147479	-1.52638834	-1.44226082	0.11482488	-1.8272261	-1.28009802	-2.06530695	4.84216148	-1.35200742	1.95817733	-0.11330874	-0.57669886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	434-07-1	Oxymetholone	2	1.1	9.885e-10	2.21e-9	4.943e-9	1.105e-8	2.4709999999e-8	5.5259999999e-8	1.236e-7	2.7629999999e-7	6.178e-7	1.3819999999e-6	3.089e-6	6.908e-6	1.545e-5	3.454e-5	7.723e-5	-0.15111447	-2.81651728	-0.80021992	-0.0053052	15.19152275	27.85160818	41.87557484	45.32754239	60.81975054	58.01893947	65.54484709	72.81409995	53.00709321	23.36532097	-44.04332811	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
tox21-ar-bla-agonist	NOCAS_49560	NTP Mix29 AR2 5-EQP-HF	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	41.34541806	0.20809671	1.43347377	5.81142361	37.21302127	50.80180575	60.32859419	76.42647921	52.63508445	90.35306393	100.70548885	68.59835763	118.75965689	105.18328423	114.16938843	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49524	NTP Mix104 ER1 10-EQC	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-4.47285185	0.17813106	-4.21788505	-2.52617263	-4.16474782	-2.36473739	-3.10095374	-0.57949798	-5.87964479	0.13726102	-5.00198124	5.33185109	-2.18689982	-4.55808551	-4.05663329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49535	NTP Mix115 ER1 10-EQC	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-5.37857013	-4.42804027	0.29802317	-4.15403063	0.72932907	-1.0799562	-0.87533164	4.13018949	-0.16598138	-3.77816796	-0.25910944	0.48060828	0.01305483	1.86081797	0.05486664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	50-02-2	Dexamethasone	2	1.1	9.93e-10	2.22e-9	4.9649999999e-9	1.11e-8	2.4819999999e-8	5.5509999999e-8	1.241e-7	2.775e-7	6.206e-7	1.3879999999e-6	3.103e-6	6.9379999999e-6	1.551e-5	3.4689999999e-5	7.7569999999e-5	1.71087624	-1.64624885	-0.11644183	-1.38989456	-1.28988302	3.64628878	22.39005457	23.61120659	30.16567018	45.93569819	50.16567601	52.7153734	84.82658745	80.17819907	85.3403367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49530	NTP Mix110 ER1 10-EQC	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-8.24394189	16.71569177	2.43818129	-2.67225138	-0.75737803	-0.5812938	3.93071024	0.06027201	-0.91874381	-3.41077884	-2.79173377	-4.75489295	0.71005956	-0.65496471	-3.22245618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49547	NTP Mix92 ER AR1 18-EQP	2	1.4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	1.88052758	0.70571044	-2.27930499	5.30910423	0.95201391	5.66895228	16.57105322	21.60331112	20.35420249	40.34950297	35.75718763	45.66163739	7.80868815	57.31592629	55.94974372	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
tox21-ar-bla-agonist	NOCAS_49528	NTP Mix108 ER1 10-EQC	2	4	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-2.72571959	-3.91431952	-4.02664623	-5.16701706	-6.24127927	-2.27523118	-2.67880119	-3.96416573	21.64628341	-2.72437252	-2.64860932	-7.33961457	-0.13614353	-2.90169146	-4.30480976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tox21-ar-bla-agonist	NOCAS_49544	NTP Mix89 ER AR1 18-EQP	2	1.1	4.904e-10	1.097e-9	2.452e-9	5.4829999999e-9	1.226e-8	2.742e-8	6.13e-8	1.371e-7	3.065e-7	6.8539999999e-7	1.5329999999e-6	3.427e-6	7.663e-6	1.7129999999e-5	3.831e-5	-3.36301909	-1.01000694	0.18762095	0.23532652	18.5038312	31.41547053	52.34000122	69.90135003	87.219075	84.23312011	81.42070268	104.01865531	113.19523714	128.36079479	128.08298156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
